Date,Open,High,Low,Close,Adj Close,Volume
2005-05-09,9500.000000,9550.000000,9410.000000,9500.000000,6949.976563,20035000
2005-05-10,9560.000000,9590.000000,9510.000000,9540.000000,6979.240723,10675000
2005-05-11,9500.000000,9510.000000,9430.000000,9440.000000,6906.080566,17300000
2005-05-12,9480.000000,9600.000000,9480.000000,9500.000000,6949.976563,20860000
2005-05-13,9500.000000,9700.000000,9440.000000,9630.000000,7045.078613,20545000
2005-05-16,9700.000000,9800.000000,9680.000000,9760.000000,7140.185547,17350000
2005-05-17,9800.000000,9860.000000,9670.000000,9790.000000,7162.132813,18175000
2005-05-18,9890.000000,9900.000000,9780.000000,9790.000000,7162.132813,17095000
2005-05-19,9860.000000,10020.000000,9850.000000,9970.000000,7293.814941,25435000
2005-05-20,9990.000000,10040.000000,9900.000000,9970.000000,7293.814941,11685000
2005-05-23,9920.000000,9970.000000,9890.000000,9960.000000,7286.502441,8045000
2005-05-24,9930.000000,9970.000000,9860.000000,9900.000000,7242.606445,12750000
2005-05-25,9870.000000,9930.000000,9670.000000,9690.000000,7088.974121,21315000
2005-05-26,9630.000000,9700.000000,9590.000000,9640.000000,7052.397949,13895000
2005-05-27,9800.000000,9860.000000,9730.000000,9800.000000,7169.447754,18775000
2005-05-30,9800.000000,9880.000000,9800.000000,9870.000000,7220.658203,11435000
2005-05-31,9850.000000,9880.000000,9730.000000,9780.000000,7154.816406,22275000
2005-06-01,9670.000000,9790.000000,9660.000000,9780.000000,7154.816406,16545000
2005-06-02,9900.000000,9910.000000,9750.000000,9750.000000,7132.871094,18320000
2005-06-03,9760.000000,9830.000000,9710.000000,9760.000000,7140.185547,17675000
2005-06-06,9760.000000,9760.000000,9760.000000,9760.000000,7140.185547,0
2005-06-07,9680.000000,9700.000000,9600.000000,9610.000000,7030.448242,24125000
2005-06-08,9560.000000,9620.000000,9500.000000,9550.000000,6986.552734,26785000
2005-06-09,9510.000000,9600.000000,9430.000000,9600.000000,7023.134766,37520000
2005-06-10,9600.000000,9890.000000,9540.000000,9830.000000,7191.395020,40645000
2005-06-13,9830.000000,9990.000000,9830.000000,9960.000000,7286.502441,22765000
2005-06-14,9960.000000,10020.000000,9880.000000,9930.000000,7264.552734,19495000
2005-06-15,9930.000000,10000.000000,9890.000000,10000.000000,7315.763672,22460000
2005-06-16,10000.000000,10040.000000,9940.000000,9970.000000,7293.814941,18395000
2005-06-17,9980.000000,9990.000000,9830.000000,9870.000000,7220.658203,23945000
2005-06-20,9870.000000,9880.000000,9790.000000,9810.000000,7176.761719,16605000
2005-06-21,9810.000000,9830.000000,9720.000000,9760.000000,7140.185547,20260000
2005-06-22,9760.000000,9880.000000,9740.000000,9860.000000,7213.342285,19650000
2005-06-23,9860.000000,9980.000000,9840.000000,9960.000000,7286.502441,25990000
2005-06-24,9920.000000,9920.000000,9780.000000,9820.000000,7184.080566,21780000
2005-06-27,9780.000000,9780.000000,9660.000000,9770.000000,7147.500488,28050000
2005-06-28,9770.000000,9810.000000,9710.000000,9790.000000,7162.132813,18530000
2005-06-29,9800.000000,9850.000000,9760.000000,9800.000000,7169.447754,19185000
2005-06-30,9800.000000,9960.000000,9800.000000,9880.000000,7227.975098,19835000
2005-07-01,9880.000000,10020.000000,9860.000000,10020.000000,7330.393555,26555000
2005-07-04,10100.000000,10180.000000,10020.000000,10060.000000,7359.660156,15655000
2005-07-05,10080.000000,10140.000000,10000.000000,10040.000000,7345.025879,9300000
2005-07-06,10060.000000,10140.000000,10060.000000,10080.000000,7374.287109,13455000
2005-07-07,10080.000000,10380.000000,10080.000000,10320.000000,7549.866211,31910000
2005-07-08,10340.000000,10440.000000,10320.000000,10320.000000,7549.866211,19665000
2005-07-11,10500.000000,10700.000000,10500.000000,10660.000000,7798.604004,34585000
2005-07-12,10800.000000,10960.000000,10740.000000,10820.000000,7915.656250,46835000
